x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15
4.483824156140486252e+02,8.953602607453411792e+02,3.577035871964978924e+02,8.024501742273126865e+02,1.381191646464766905e+02,-2.288448624949919292e+02,-4.688661094982415989e+01,-4.702835663633351828e+02,-8.839293465950435120e+02,-8.520407993496020254e+02,3.032897638674012342e+02,-6.515230437722553916e+02,3.951797823198085666e+02,-2.349992231936400344e+02,1.551622124044998543e+02,1.539625181522863215e+02,8.091236432467671875e+02,6.785009723885725634e+02,8.933863711900972930e+02,4.663748753425483073e+02,-7.870989137595259990e+02,6.516502234668995470e+02,-2.131500805449328766e+02,-5.962456171033727514e+02,8.241026370596447350e+02,-4.355668748559344863e+02,3.258884102843342703e+02,-2.703625059024166717e+02,-2.199008237311281277e+02,-9.169966327466398752e+02,-2.869983047473293709e+02,-6.641161571019601979e+02
4.403061249788240730e+02,9.301030081872293067e+02,3.764714545372728480e+02,7.915820465094401470e+02,1.105802609532312886e+02,-2.230739025000517302e+02,-2.514990426401326573e+01,-4.826523747490358573e+02,-9.105351921952110388e+02,-8.710613295743696654e+02,2.549921005581552151e+02,-6.192645032827464320e+02,3.924029520010661258e+02,-2.603808038581717028e+02,1.594036534238266256e+02,1.275215067886328484e+02,7.937732790073565639e+02,6.679012040552089502e+02,8.690707073920995072e+02,4.920955588516045509e+02,-7.998376100979702414e+02,6.313076748965752358e+02,-2.001055434968672557e+02,-6.244005645900372201e+02,8.583049789568619872e+02,-4.206613138255309536e+02,3.410620613355186492e+02,-2.849979484433521293e+02,-1.901046133643601195e+02,-9.166829388304323629e+02,-3.098364318247836309e+02,-6.497216586219163901e+02
4.536141563958371421e+02,9.317371939620802550e+02,3.710112690234327033e+02,7.632888994832202343e+02,1.112611986144786869e+02,-2.398746925310783809e+02,-2.206703635147883347e+01,-4.991579102811619464e+02,-9.251412756570643978e+02,-8.872300230929316740e+02,2.368434072246378719e+02,-6.334862232681053911e+02,3.647543182919081914e+02,-2.488164158069720315e+02,1.806303025448250708e+02,1.418181414431058442e+02,7.933531959538037199e+02,6.947031894553441589e+02,8.841031634299212101e+02,4.865336868534380415e+02,-7.917904632081500722e+02,6.100828795223441148e+02,-1.935634562191941654e+02,-6.401174583965620286e+02,8.566553347948927239e+02,-3.948083289259189996e+02,3.582656673497120323e+02,-2.720008944889655709e+02,-1.810579653365730906e+02,-9.187451124922328063e+02,-3.005598994227507887e+02,-6.271364241205292274e+02
4.451210154348217998e+02,9.485870587627166515e+02,3.675509372322348440e+02,7.422286298540728922e+02,9.550468962974387921e+01,-2.350309575655079755e+02,1.931658172802493967e+00,-5.058545649651718463e+02,-9.116392738451315836e+02,-8.979064606445972458e+02,2.025139151248977782e+02,-6.133777428336861703e+02,4.032825908903952836e+02,-2.545563049940922724e+02,1.781283450163661826e+02,1.150825733792642467e+02,7.798076557480825386e+02,7.206675766159009981e+02,8.969617259455026215e+02,4.929207345430468763e+02,-7.918083476988076654e+02,5.966958122155717774e+02,-2.033977213563666737e+02,-6.367420834412496333e+02,8.771630529010142254e+02,-3.902484463255061087e+02,3.693887538992805730e+02,-2.957360187100474604e+02,-1.475561424233410719e+02,-9.093579338531596932e+02,-3.252073590316333593e+02,-6.093470036236625447e+02
4.222648186851853893e+02,9.697729926704502077e+02,3.739166505799272500e+02,7.077217593775397972e+02,7.311293289426421893e+01,-2.181011748247613866e+02,2.856212315679786684e+01,-4.914696424279324560e+02,-9.298810050097849853e+02,-9.159945738749696602e+02,2.154926662213636916e+02,-5.927043805712304447e+02,3.962498983577394824e+02,-2.608314432057393901e+02,1.878800033984429945e+02,1.280114131843508574e+02,8.042050151304441670e+02,7.080011342883050247e+02,8.807070059822162875e+02,4.743493636163476026e+02,-8.052881163854050328e+02,5.728884265259756603e+02,-1.825906499565916192e+02,-6.307527236172487619e+02,8.764158220903874508e+02,-3.783532532587715878e+02,3.853435794682953883e+02,-2.896199647423295005e+02,-1.445008482741941975e+02,-9.096863164349301769e+02,-3.175533602656141170e+02,-5.905641709387375613e+02
4.237280651328899808e+02,9.781420323216347015e+02,3.724917119776860090e+02,6.620512233383429930e+02,7.428133832429821837e+01,-2.315932796538378398e+02,3.482734750757147424e+01,-4.938929962489669379e+02,-9.455048650886246833e+02,-9.002116822766670339e+02,1.771754201112667033e+02,-6.006481785374201081e+02,3.773944505029419929e+02,-2.628829980025327586e+02,2.083969040689344752e+02,1.137896052275218608e+02,7.811794747052229013e+02,7.305425807196295409e+02,8.824533349112558653e+02,4.994162341895003010e+02,-8.035591280894168449e+02,5.593791483353230660e+02,-2.045352795129728634e+02,-6.414703898178430563e+02,8.951519579924889740e+02,-3.410476994738878034e+02,3.957695463875293171e+02,-2.525107516309147968e+02,-1.216641803260242227e+02,-9.023597918005299334e+02,-3.099569606986074177e+02,-5.659746600888695411e+02
4.005474321054288112e+02,9.671961633811334877e+02,3.644420247515581082e+02,6.408605978711282205e+02,9.038240347978091904e+01,-2.130771137499475572e+02,3.468551369407015272e+01,-4.906427753508290834e+02,-9.314450959399958947e+02,-9.155049726149086382e+02,1.516702337651716732e+02,-5.868804089551082370e+02,3.712818500178079830e+02,-2.673828583702963897e+02,2.033030026109234143e+02,1.220645012598101573e+02,7.824192773593858874e+02,7.274149741050227931e+02,8.721955559450336750e+02,4.657470244379449582e+02,-7.582093241320644665e+02,5.384348192774561994e+02,-1.973629917318788785e+02,-6.310839230392961099e+02,9.204173277617273925e+02,-3.318640593229093838e+02,3.745613769897847192e+02,-2.514105614059838558e+02,-1.074721772150730033e+02,-8.953520279998560909e+02,-3.185813155106012573e+02,-5.464250083899128185e+02
4.016057284659527795e+02,9.540664743163872572e+02,3.427867736944348849e+02,6.067372567228815115e+02,5.270395861450713682e+01,-1.888244899042606448e+02,3.821921867014624752e+01,-4.869759375670714121e+02,-9.393390794730906919e+02,-9.109870907017985928e+02,1.339553695040585524e+02,-5.887122268460905161e+02,3.584767554346918246e+02,-2.320914539108330530e+02,2.306761362438692800e+02,1.243988063469911793e+02,7.618253237053592102e+02,7.259471872299607185e+02,8.873730349526310874e+02,4.467577774506096944e+02,-7.613025620049729696e+02,5.314860903324536139e+02,-1.993447821586944997e+02,-6.117114764791282369e+02,9.346607882875159703e+02,-2.908100387574127694e+02,3.855341129675067009e+02,-2.360952639679625520e+02,-7.828969417018285526e+01,-8.922677178509889018e+02,-3.286552610059961808e+02,-5.241516232509752626e+02
3.870509416184839893e+02,9.355747303960215504e+02,3.447027588166989176e+02,5.856771347022765895e+02,6.372557852690866298e+01,-2.041274162932280376e+02,5.314447313557936781e+01,-4.692738504287574983e+02,-9.247742926360084539e+02,-9.125309198017175731e+02,1.222602024932862150e+02,-5.869232016769871052e+02,3.519318976366653260e+02,-2.540651250437608439e+02,2.263603497970310912e+02,1.215456076549776157e+02,7.555194465458968125e+02,7.119963621825097562e+02,8.605326492051502782e+02,4.497908922986000562e+02,-7.532815377015039076e+02,4.973328266153080790e+02,-2.120734799663560750e+02,-5.943469137987841577e+02,9.402699877965054611e+02,-2.823365198868141306e+02,3.825286349731268842e+02,-2.299921593906930184e+02,-7.332234189707438077e+01,-8.660889778809570316e+02,-3.260782073963315497e+02,-5.005486944487356027e+02
3.860463149347567651e+02,9.462973996910222922e+02,3.459314210571245098e+02,5.287644798413989520e+02,3.464856456422330666e+01,-1.745981012621894308e+02,5.648918598087701071e+01,-4.452074815730150021e+02,-9.343341823623364917e+02,-9.332087641751837737e+02,8.362656057193309778e+01,-5.662937208643081703e+02,3.179635560435669390e+02,-2.327585527043434297e+02,2.640957617723493058e+02,1.432525217516954399e+02,7.353439494219148855e+02,7.005731205089532523e+02,8.681162981741867952e+02,4.149833253678665415e+02,-7.424421964466951067e+02,4.782827631917149347e+02,-1.894276502853199702e+02,-5.942205589125607048e+02,9.244211093730002631e+02,-2.636360651985957020e+02,3.890924862819940699e+02,-2.217011377592214956e+02,-4.150751044864679073e+01,-8.642159204136225981e+02,-3.076644211612073150e+02,-4.752717834138281887e+02
