x0,y0
-608.5657535873474,-880.9410824157051
-604.3835404030019,-880.6923794506787
-600.2166945972982,-879.7983361481236
-596.0651210234985,-878.2732061068112
-591.9287245348654,-876.1312429255137
-587.8074099846622,-873.3867002030022
-583.7010822261506,-870.0538315380487
-579.6096461125936,-866.1468905294251
-575.5330064972536,-861.6801307759027
-571.4710682333935,-856.6678058762533
-567.4237361742756,-851.1241694292488
-563.3909151731626,-845.0634750336607
-559.372510083317,-838.4999762882607
-555.3684257580018,-831.4479267918204
-551.378567050479,-823.9215801431116
-547.4028388140116,-815.9351899409062
-543.4411459018618,-807.5030097839754
-539.4933931672927,-798.6392932710912
-535.5594854635663,-789.3582940010253
-531.6393276439456,-779.6742655725495
-527.7328245616931,-769.6014615844351
-523.8398810700713,-759.1541356354543
-519.9604020223429,-748.3465413243783
-516.0942922717703,-737.192932249979
-512.2414566716164,-725.7075620110281
-508.4018000751435,-713.9046842062975
-504.57522733561433,-701.7985524345585
-500.76164330629143,-689.403420294583
-496.96095284043736,-676.7335413851425
-493.17306079131475,-663.8031693050091
-489.39787201218627,-650.626557652954
-485.6352913563143,-637.2179600277492
-481.8852236769615,-623.5916300281664
-478.1475738273906,-609.7618212529771
-474.4222466608641,-595.7427873009531
-470.70914703064443,-581.5487817708662
-467.00817978999436,-567.194058261488
-463.3192497921765,-552.69287037159
-459.64226189045337,-538.0594716999441
-455.97712093808747,-523.3081158453219
-452.3237317883415,-508.4530564064951
-448.68199929447803,-493.5085469822355
-445.0518283097597,-478.48884117131485
-441.43312368744887,-463.40819257250433
-437.8257902808084,-448.2808547845763
-434.22973294310077,-433.1210814063021
-430.64485652758844,-417.9431260364534
-427.07106588753425,-402.76124227380205
-423.5082658762006,-387.58968371711956
-419.9563613468502,-372.4427039651779
-416.4152571527454,-357.3345566167484
-412.88485814714915,-342.279495270603
-409.36506918332367,-327.291773525513
-405.85579511453176,-312.3856449802507
-402.356940794036,-297.57536323358767
-398.86841107509895,-282.875181884295
-395.3901108109831,-268.29935453114507
-391.9219448549511,-253.8621347729091
-388.46381806026574,-239.57777620835927
-385.0156352801894,-225.460532436267
-381.5773013679845,-211.5246570554034
-378.14872117691397,-197.78440366454134
-374.72979956024017,-184.2540258624514
-371.32044137122574,-170.947777247906
-367.9205514631333,-157.87991141967666
-364.5300346892255,-145.0646819765348
-361.1487959027647,-132.51634251725238
-357.7767399570138,-120.24914664060104
-354.41377170523515,-108.27734794535245
-351.05979600069145,-96.61520003027852
-347.71471769664515,-85.27695649415038
-344.378441646359,-74.27687093574004
-341.0508727030955,-63.62919695381953
-337.73191572011723,-53.3481881471601
-334.42147555068686,-43.44809811453351
-331.11945704806686,-33.943180454711325
-327.8257650655198,-24.84768876646551
-324.54030445630843,-16.175876648567808
-321.26298007369525,-7.9419976997894395
-317.99369677094296,-0.16030551890249
-314.73235940131383,7.154946295321267
-311.4788728180707,13.989504144110533
-308.23314187447613,20.32911442869313
-304.9950714237927,26.15952355029723
-301.764566319283,31.466477910152197
-298.54153141420954,36.235723909485486
-295.3258715618349,40.45300794952592
-292.1174916154217,44.10407643150158
-288.91629642823267,47.17467575664011
-285.72219085353026,49.6505523261706
-282.53507974457705,51.51745254132128
-279.3548679546356,52.761122803320305
-276.1814603369686,53.36730951339611
-273.0147617448386,53.32175907277707
-269.85467703150823,52.61021788269099
-266.7011110502398,51.21843234436652
-263.5539686542963,49.13214885903267
-260.4131546969402,46.33711382791594
-257.2785740314338,42.819073652246445
-254.15013151104006,38.56377473325146
-251.02773198902128,33.556963472160305
-247.96068994411948,28.179247864194085
-244.99656451955633,22.822155104039993
-242.13262756531398,17.487810392123404
-239.36615093137476,12.178338928869719
-236.694406467721,6.895865914704315
-234.11466602433475,1.642516550052577
-231.62420145119847,-3.5795839646600975
-229.22028459829428,-8.76831042900832
-226.90018731560457,-13.921537642566715
-224.6611814531115,-19.0371404049099
-222.5005388607974,-24.112993515612473
-220.41553138864455,-29.146971774249064
-218.4034308866351,-34.13694998039427
-216.4615092047514,-39.080802933622735
-214.58703819297568,-43.976405433509015
-212.77728970129016,-48.82163227962778
-211.02953557967723,-53.61435827155363
-209.34104767811903,-58.35245820886115
-207.7090978465979,-63.033806891124996
-206.130957935096,-67.65627911791975
-204.60389979359567,-72.21774968882002
-203.12519527207914,-76.71609340340046
-201.6921162205287,-81.14918506123566
-200.30193448892663,-85.5148994619002
-198.9519219272551,-89.81111140496874
-197.63935038549647,-94.03569569001588
-196.36149171363292,-98.18652711661625
-195.11561776164677,-102.26148048434443
-193.89900037952026,-106.25843059277506
-192.7089114172357,-110.17525224148272
-191.54262272477524,-114.00982023004207
-190.39740615212122,-117.76000935802767
-189.2705335492559,-121.4236944250142
-188.15927676616147,-124.99875023057623
-187.06090765282033,-128.48305157428837
-185.97269805921462,-131.87447325572523
-184.89191983532663,-135.17089007446145
-183.81584483113863,-138.37017683007164
-182.7417448966329,-141.47020832213042
-181.66689188179168,-144.46885935021237
-180.58855763659724,-147.36400471389211
-179.5040140110318,-150.15351921274424
-178.41053285507766,-152.83527764634346
-177.30538601871712,-155.4071548142643
-176.18584535193241,-157.86702551608138
-175.04918270470571,-160.21276455136933
-173.89266992701943,-162.44224671970278
-172.71357886885568,-164.55334682065632
-171.50918138019682,-166.54393965380456
-170.2767493110251,-168.41190001872212
-169.01355451132275,-170.15510271498363
-167.71686883107202,-171.7714225421637
-166.38396412025526,-173.25873429983693
-165.01211222885462,-174.6149127875779
-163.59858500685237,-175.8378328049613
-162.1406543042309,-176.92536915156168
-160.63559197097234,-177.8753966269537
-159.08066985705904,-178.6857900307119
-157.47315981247317,-179.35442416241096
-155.810333687197,-179.87917382162556
-154.08946333121287,-180.25791380793015
-152.30782059450303,-180.48851892089945
-150.46267732704962,-180.56886396010805
-148.551305378835,-180.49682372513053
-146.57097659984152,-180.2702730155416
-144.5189628400512,-179.8870866309158
-142.3925359494465,-179.34513937082772
-140.18896777800967,-178.64230603485197
-137.90553017572287,-177.77646142256327
-135.53949499256845,-176.7454803335361
-133.0881340785287,-175.54723756734518
-130.54871928358565,-174.1796079235651
-127.91852245772182,-172.6404662017704
-125.1948154509194,-170.92768720153578
-122.3748701131606,-169.0391457224358
-119.45595829442767,-166.97271656404513
-116.43535184470296,-164.72627452593832
-113.31032261396874,-162.29769440769002
-110.0781424522072,-159.68485100887477
-106.73608320940053,-156.88561912906732
-103.28141673553117,-153.89787356784223
-99.71141488058122,-150.71948912477404
-96.02334949453302,-147.3483405994374
-92.21449242736887,-143.78230279140706
-88.28211552907096,-140.0192505002574
-84.22349064962147,-136.05705852556324
-80.03588963900289,-131.89360166689906
-75.71658434719731,-127.52675472383947
-71.26284662418702,-122.95439249595914
-66.67194831995431,-118.17438978283269
-61.94116128448144,-113.18462138403473
-57.06775736775066,-107.98296209913988
-52.04900841974421,-102.5672867277227
-46.88218629044449,-96.93547006935782
-41.56456282983333,-91.08538692361991
-36.09340988789364,-85.01491209008361
-30.465999314607245,-78.72192036832334
-24.679602959956444,-72.20428655791392
-18.73149267392362,-65.4598854584298
-12.618940306490913,-58.48659186944576
-6.663646344256608,-51.73318315744935
-1.1838191056142737,-45.64289635779222
3.828507811760733,-40.20529577334484
8.381300810193046,-35.40994570697773
12.4825262920073,-31.24641046156139
16.14015065952814,-27.704254339966333
19.362140315080204,-24.773041645063063
22.1564616609881,-22.442336679722096
24.53108109957651,-20.7017037468139
26.493965033170053,-19.54070714920902
28.053079864093355,-18.948911189777952
29.216391994671064,-18.91588017139118
29.99186782722781,-19.43117839691926
30.38747376408825,-20.484370169232626
30.411176207576993,-22.065019791201863
30.0709415600187,-24.1626915656974
29.37473622373799,-26.766949795589785
28.33052660105951,-29.8673587837495
26.946279094307904,-33.453482833047076
25.229960105807784,-37.514886246353015
23.189536037883848,-42.0411333265378
20.83297329286066,-47.021788376471974
18.168238273062883,-52.44641569902602
15.20329738081514,-58.30457959707046
11.946117018442122,-64.58584437347577
8.404663588268408,-71.27977433111243
4.586903492618674,-78.375933772851
0.5008031338175467,-85.86388700156205
-3.845671085810359,-93.73319832011589
-8.444552763940402,-101.9734320313832
-13.287875498247907,-110.57415243823448
-18.36767288640827,-119.52492384354008
-23.67597852609683,-128.81531055017066
-29.20482601498899,-138.4348768609966
-34.94624895076008,-148.37318707888863
-40.892280931085395,-158.6198055067169
-47.034955553640444,-169.16429644735217
-53.36630641610053,-179.996224203665
-59.87836711614098,-191.1051530785258
-66.56317125143725,-202.48064737480496
-73.41275241966451,-214.1122713953732
-80.41914421849822,-225.98958944310067
-87.57438024561392,-238.10216582085832
-94.87049409868679,-250.43956483151658
-102.29951937539218,-262.9913507779456
-109.85348967340549,-275.74708796301627
-117.52443859040216,-288.69634068959897
-125.3043997240574,-301.828673260564
-133.1854066720466,-315.133649978782
-141.1594930320453,-328.60083514712375
-149.2186924017287,-342.21979306845924
-157.3550383787723,-355.9800880456597
-165.56056456085128,-369.87128438159493
-173.82730454564094,-383.88294637913543
-182.14729193081698,-398.0046383411524
-190.51256031405453,-412.2259245705158
-198.91514329302905,-426.53636937009634
-207.3470744654157,-440.9255370427641
-215.80038742889005,-455.3829918913901
-224.26711578112753,-469.89829821884507
-232.7392931198032,-484.4610203279984
-241.20895304259278,-499.06072252172186
-249.66812914717138,-513.6869691028853
-258.1088550312143,-528.3293243743592
-266.52316429239727,-542.9773526390145
