x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9
-912.4969096957956,-1.7388330991126395,104.43973845028768,-325.84419085301806,-32.75432278613357,-350.00774768800034,505.7008562632668,88.85622858040551,416.02836094222107,628.0707072535986,-548.3678312585221,-195.03049235069648,759.8470944502876,672.3957870268857,-763.2023511459242,-851.0807015814847,879.5548262387529,694.2658809786451,105.49596916904056,311.8728175914996,396.41656782525547,254.15094350585196,-218.65987646392,3.5601610232284884,529.8617384264983,433.6627260231635,-669.4568243245644,-51.14977426799362,-717.4174874550656,-119.5322525762839
-910.2533438292328,-5.434125786945431,110.83457725835186,-319.6437153647529,-33.14361759511254,-345.6521382216665,511.6819064277262,96.50888590469707,406.7544519591187,622.0794006864639,-540.232072789479,-186.62742086325846,760.6729838977244,675.4573448114027,-762.3154123559884,-860.5298613309376,877.0949885611624,690.8639935531501,102.55893561709668,312.94740881630776,392.9582528786401,244.80071778157554,-208.7395158295363,2.313398223132453,522.5897577057426,424.0866560516234,-671.018342864149,-43.10676939056705,-710.0508242930787,-126.68014171603406
-907.159747211928,-9.12805645860819,116.74509481218149,-313.7813780086103,-33.13008353588543,-340.8927163117122,517.3973434911812,103.84663772514106,397.74062075133395,616.5474832393261,-532.5161947121876,-178.2713199105608,761.4981976422811,678.3565061438626,-760.5778947130718,-869.4047012139144,874.0998083173675,686.8726509074567,99.40214678869677,313.4435163796613,389.6541083274936,235.3419534512537,-198.49867132527004,1.5667636685221205,515.79199495228,414.85365693575136,-672.499789959181,-35.5789919886216,-701.9677141268979,-133.67606369535406
-903.2345024691709,-12.820191059430964,122.17904788407701,-308.2526012698008,-32.72237250166231,-335.73733772172903,522.8505169040437,110.87317111388705,388.98543083168335,611.4668097163994,-525.2127530906846,-169.96360344474922,762.32163593141,681.0965031751846,-758.0086577636351,-877.7153898275645,870.5808523532514,682.3062193458353,96.03223749979558,313.3725876000095,386.50216678947277,225.7793652286133,-187.94644431367936,1.30970304806013,509.46072330794055,405.95780035929215,-673.9011665211425,-28.558770180548994,-693.184680802129,-140.5212398494761
-898.4959922262517,-16.510095534743808,127.14419324633896,-303.05280763353494,-31.9291363856533,-330.19385821530875,528.0447761167261,117.59217314308455,380.48744571298323,606.8292349218985,-518.3143039890077,-161.7056854179695,763.1421990125629,683.6805680562885,-754.6265610541399,-885.4720957690374,866.5496875146972,677.1790651725576,92.45584256634788,312.746069795802,383.5004608822352,216.11766782738147,-177.09193615732252,1.5316620504091234,503.5882159145548,397.3931580059905,-675.2224734615158,-22.038432084740954,-683.718248164378,-147.2168915136324
-892.9625991084606,-20.197335829876767,131.64828767126775,-298.1774195850236,-30.759027081068478,-324.2701335560431,532.9834705796405,124.00733088488305,372.24522890805036,602.6266136600375,-511.8134034711939,-153.49897978236743,763.9587871331922,686.1119329380932,-750.4504641310469,-892.6849876354813,862.0178806475882,671.5055546918943,88.67959680430842,311.57541028548803,380.6470232234378,206.36157596128527,-165.94424821875756,2.2220863642317434,498.166745913953,389.1538015595912,-676.4637116917834,-16.010305819589234,-673.5849400592507,-153.76424002305504
-886.6527057410872,-23.881477890159893,135.69908793116392,-293.62185960947727,-29.220696481117937,-317.9740195075236,537.6699497431987,130.12233141143213,364.257343929701,598.8508007350306,-505.70260760128053,-145.34490049008875,764.7703005407499,688.3938299715185,-745.4992265408177,-899.3642340240456,856.996998597807,665.300054208117,84.71013502963196,309.8720563875169,377.93988643073794,196.5158043440516,-154.51248186054278,3.3704216781906258,493.1885864479653,381.2338027038389,-677.6248821234268,-10.466719503485557,-662.801280332353,-160.16450671297625
-879.5846947494216,-27.562087660923233,139.3043507983279,-289.3815501921066,-27.322796479011778,-311.3133718333421,542.1075630578131,135.9408617948813,356.52235429075193,595.493650951092,-499.97447244330493,-137.24486149327925,765.575639482688,690.5294913074838,-739.7917078299133,-905.5200035318793,851.4986082112371,658.5769300254966,80.5540920582733,307.64745542033825,375.3770831217927,186.5850676894076,-142.80573844523636,4.9661136809484185,488.64601065842203,373.62723312247834,-678.7059856679291,-5.400001254821642,-651.3837928292909,-166.4189129186282
-871.776948758754,-31.238731087496838,142.4718330450602,-285.4519138181223,-25.073978967960084,-304.29604629709013,546.2996599738957,141.46660910738007,349.0388235040194,592.5470191124363,-494.62155406130455,-129.20027674408462,766.3737042064587,692.5221490969085,-733.3467675447947,-911.1624647561313,845.5342763337618,651.3505484483043,76.21810270618715,304.91305470240127,372.95664591425924,176.57408071108023,-130.83311933539645,6.998608061167758,484.5312916871536,366.3281644992542,-679.7070232367719,-0.8024791919892413,-639.34900139567,-172.52867997524302
-863.2478503943743,-34.91097411521076,145.20929144366127,-281.8283729727349,-22.48289584117296,-296.9298986623594,550.2495899418587,146.70326042107797,341.8053150823201,590.0027600232776,-489.636408519316,-121.21256019465068,767.163394959514,694.3750354907119,-726.183265231923,-916.3017862939508,839.1155698112638,643.635275780811,71.70880178932826,301.6803015521554,370.6766074257947,166.48755812279654,-118.60372589358126,9.457350507511283,480.8367026759903,359.3306685179116,-680.6279957414375,3.3335185666199445,-626.7134298770965,-178.4950292180529
