x0,y0
-5.960212833131566867e+02,-8.615696496042829722e+02
-6.018031998033851551e+02,-8.780733089623424803e+02
-6.158924100223724736e+02,-8.853142050442147593e+02
-5.904743707396709169e+02,-8.997588773721415691e+02
-5.897458532450033317e+02,-8.958544840464271601e+02
-5.804884654616513444e+02,-8.847869467387097302e+02
-5.919406680689417044e+02,-8.878346643963075167e+02
-5.868041738640199583e+02,-8.600717094674605505e+02
-5.692484445186202038e+02,-8.740100793089515037e+02
-5.744812591427732968e+02,-8.612246063580475948e+02
-5.781341070650687470e+02,-8.561961612781623217e+02
-5.373292277474268985e+02,-8.349330828257463963e+02
-5.549578388713830464e+02,-8.567801092452456260e+02
-5.593752769081005454e+02,-8.349879276438889519e+02
-5.614085728653499245e+02,-8.216404878389785154e+02
-5.474073408403086205e+02,-7.920722485596905926e+02
-5.627667538005097185e+02,-7.978522721885523197e+02
-5.310733482250441284e+02,-8.039171844959944337e+02
-5.200178904827146198e+02,-7.842569058961506698e+02
-5.197869251111482072e+02,-7.612412648106284223e+02
-5.201726325440554319e+02,-7.487618089326989548e+02
-5.202367687683366739e+02,-7.633475084277408769e+02
-5.136917201412396707e+02,-7.377719077710739839e+02
-5.107725309785010950e+02,-7.349608600000274237e+02
-5.005221851671720401e+02,-7.173644275088794302e+02
-5.188796122949836445e+02,-7.077035754014162876e+02
-5.163647008801914353e+02,-6.967393494803006888e+02
-5.118362406852007780e+02,-6.823405198769422668e+02
-5.048271434058002569e+02,-6.775388848484059281e+02
-4.978353743161646889e+02,-6.616404067993576064e+02
-4.916488051289803707e+02,-6.676392995457795223e+02
-4.739697949405249346e+02,-6.539719316332476637e+02
-4.948220643455189247e+02,-6.078393529544742933e+02
-4.880987383632912042e+02,-6.004405656757791121e+02
-4.761115617684108656e+02,-5.890250401722528295e+02
-4.688004754721991389e+02,-5.690250518104129469e+02
-4.636723384523818368e+02,-5.559863754669204354e+02
-4.616419409669276774e+02,-5.611771656526793777e+02
-4.630073872333477425e+02,-5.401759452813548705e+02
-4.763714445474154218e+02,-5.214083056979440016e+02
-4.429749980634965709e+02,-5.236974056686769927e+02
-4.486010698236225380e+02,-4.920624382842387945e+02
-4.323321597590024794e+02,-4.874481267009506951e+02
-4.491221571745653591e+02,-4.709225189184510327e+02
-4.501394760318011663e+02,-4.396424773244721678e+02
-4.119029724237259416e+02,-4.399546565706923502e+02
-4.327403687680555890e+02,-4.258051023136494564e+02
-4.444254394085670583e+02,-3.832235785170294093e+02
-4.131110461181873461e+02,-4.068078725504732347e+02
-4.169314012724983627e+02,-3.857164886791600793e+02
-3.967407792091700571e+02,-3.584948221520663196e+02
-4.103481956350842665e+02,-3.391911001648481374e+02
-3.981248666685722242e+02,-3.339485489396426487e+02
