x0,y0,z0
253.2633925635016,786.8388454444284,13.332253654913416
254.56078936653503,779.417995737181,19.779285424376933
255.6160958621257,771.1366060058327,25.79537012468339
256.433771899419,762.0146259933989,31.387635232643916
257.0182773275603,752.0720054428951,36.563208225069644
257.37407199569515,741.328694097337,41.32921657877169
257.5056157529689,729.8046416997396,45.692787770561196
257.4173684485269,717.5197979931189,49.66104927724927
257.11378993151453,704.4941127204902,53.24112857564703
256.5993400510774,690.7475356248686,56.440153142565634
255.87847865636073,676.3000164492701,59.26525045481618
254.95566559651004,661.1715049367101,61.72354798920981
253.83536072067076,645.381950830204,63.82217322255764
252.5220238779882,628.9513038727669,65.5682536316708
251.02011491760786,611.8995138074148,66.9689166933604
249.33409368867518,594.2465303771633,68.0312898844376
247.46842004033547,576.0123033250275,68.7625006817135
245.4275538217342,557.2167823940229,69.16967656199921
243.21595488201677,537.8799173271649,69.25994500210591
240.83808307032865,518.0216578674693,69.0404334788447
238.2983982358152,497.66195375795144,68.51826946902668
235.60136022762188,476.82075474162684,67.700580449463
232.751428894894,455.51801056151083,66.59449389696479
229.7530640867771,433.77367096061914,65.20713728834315
226.61072565241653,411.607685681967,63.545638100409214
223.3288734409577,389.0400044685699,61.617123809974125
219.91196730154604,366.09057706344356,59.428721893849016
216.36446708332699,342.7793532096033,56.987559828845
212.69083263544596,319.1262826500646,54.30076509177317
208.8955238070483,295.15131512784313,51.3754651594447
204.9830004472795,270.87440038595395,48.218787508670694
200.9577224052849,246.31548816741295,44.83785961626227
196.82414953020998,221.49452821523533,41.23980895903059
192.58674167120014,196.43147027243674,37.43176301378676
188.24995867740083,171.1462640820327,33.42084925734187
183.81826039795735,145.6588593870385,29.214195166507096
179.29610668201522,119.9892059304699,24.818928218093582
174.68795737871983,94.15725345534221,20.242175888912385
169.99827233721658,68.18295170467073,15.491065655774623
165.23151140665087,42.08625042147114,10.572724995491484
160.3921344361681,15.88709934875893,5.494281384874034
